,İsim,Birim,Sorun Tipi,Sorun Açıklaması,Cevap
10,Ali,İnsan Kaynakları,İdari Sorunlar,"Maaş bordrosunda eksik bilgiler var, nasıl düzeltebilirim?",Maaş bordrosu düzeltmeleri için İnsan Kaynakları yazılımında 'HR-210' formunu doldurmanız gerekmektedir. İlgili sorunu çözmek için yetkili kişi ile iletişime geçin.
11,Zeynep,Dijital Teknolojiler,Donanım Problemleri,"Monitörümde renk bozulması yaşıyorum, çözüm önerir misiniz?","Öncelikle bağlantı ve kablo kontrolü yapın. Sorun devam ederse, 'DT-302' donanım kontrol protokolünü uygulayarak IT destek birimine başvurun."
12,Murat,Üretim,Operasyonel Sorunlar,Üretim hattında zaman zaman duruşlar meydana geliyor.,Hat performans raporlarını inceleyin ve duruş nedenlerini belirleyin. 'ÜP-315' operasyon kontrol prosedürünü uygulayarak gerekli bakım ve ayarları yapın.
13,Ayşe,Finans,Danışma Soruları,Bütçe revizyon sürecim hakkında bilgi alabilir miyim?,"Bütçe revizyonu, yıllık planlamaya ek olarak ara değerlendirmelerle yapılır. Finans portalındaki 'Bütçe Süreci' rehberini inceleyin ve 'FIN-112' referans numarası ile sorularınızı yöneltin."
14,Kemal,Lojistik,Operasyonel Sorunlar,"Depo envanter raporunda tutarsızlık var, nasıl düzeltilir?",Envanter kontrolü için 'LOJ-205' protokolünü uygulayın. Depo sorumlusu ile birlikte sayım yapıp eksikleri tamamlayın ve sistem güncellemesini gerçekleştirin.
15,Elif,Pazarlama,Maddesel Problemler,Reklam giderlerim neden beklenenden yüksek görünüyor?,"Harcamalar, onaylı bütçelerle karşılaştırılarak incelenir. 'PAZ-308' gider analiz raporu hazırlanmalı, sapmalar varsa yöneticinizle paylaşılmalıdır."
16,Mehmet,Ar-Ge,Danışma Soruları,Yeni proje fonlaması nasıl talep edilebilir?,Proje fonlaması için Ar-Ge bölümünün belirlediği kriterlere uygun başvuru formunu doldurun. 'ARG-407' kodlu başvuru rehberini takip ediniz.
17,Leyla,Müşteri Hizmetleri,Güvenlik Problemleri,Müşteri verilerinde şüpheli erişim tespit ettim.,Veri güvenliği ekibiyle hemen iletişime geçin. 'MH-550' acil müdahale prosedürünü devreye sokun ve olay raporu hazırlayın.
18,Okan,İnsan Kaynakları,Danışma Soruları,Eğitim talebim neden onaylanmadı?,"Eğitim talepleri, belirlenen bütçe ve önceliklere göre değerlendirilir. İnsan kaynakları portalındaki 'Eğitim Talep' formunu kontrol ediniz ve gerekirse HR ile görüşünüz."
19,Deniz,Dijital Teknolojiler,Yazılım Problemleri,E-posta sistemine erişemiyorum.,"Öncelikle ağ bağlantınızı ve e-posta sunucusu durumunu kontrol edin. Sorun devam ederse, 'DT-415' hata raporlama protokolünü uygulayın ve IT destek ile iletişime geçin."
20,Eren,Üretim,Üretim Problemleri,"Ambalaj makinesi aniden durdu, neden olabilir?",Makinenin güç kaynağını kontrol edin ve acil durum prosedürü 'ÜP-322'yi uygulayarak bakım ekibine haber verin.
21,Sinem,Finans,Maddesel Problemler,Seyahat raporumda eksik belge uyarısı alıyorum.,Seyahat raporunuzu tekrar gözden geçirin ve eksik belgeleri tamamlayın. 'FIN-223' raporlama prosedürüne uygun hareket ediniz.
22,Ahmet,Lojistik,Operasyonel Sorunlar,Nakliye sürecinde gecikmeler yaşanıyor.,"Rota ve teslimat planlarını inceleyin. 'LOJ-310' kontrol listesi doğrultusunda lojistik planlamasını gözden geçirip, tedarikçi ile koordinasyon sağlayın."
23,Ece,Pazarlama,Danışma Soruları,Kampanya performans raporunu nasıl alabilirim?,"Kampanya raporları, pazarlama veri analiz platformundan çekilebilir. 'PAZ-412' raporlama kılavuzunu inceleyerek adımları takip ediniz."
24,Furkan,Ar-Ge,Veri Sorunları,Test verilerinde beklenmeyen hatalar görüyorum.,"Veri setlerini yeniden kontrol edin ve 'ARG-518' veri doğrulama prosedürünü uygulayın. Gerekirse, sistem yöneticisi ile iletişim kurun."
25,Faruk,Müşteri Hizmetleri,İdari Sorunlar,Çağrı kayıtlarında tutarsızlık var.,"Çağrı merkezi yazılımında 'MH-332' düzeltme formunu doldurup, kayıtların yeniden işlenmesini sağlayın."
26,Göktuğ,İnsan Kaynakları,Güvenlik Problemleri,Personel giriş-çıkış kayıtları tutarsız görünüyor.,Güvenlik sistemi loglarını kontrol edin ve 'HR-415' güvenlik kontrol prosedürünü uygulayarak gerekli düzeltmeleri yapın.
27,Ali,Dijital Teknolojiler,Yazılım Problemleri,Uygulama açılırken sürekli hata veriyor.,"Önce önbelleği temizleyin, ardından 'DT-520' hata giderme kılavuzunu takip edin. Sorun devam ederse IT ile irtibata geçin."
28,Zeynep,Üretim,Üretim Problemleri,Hammadde sevkiyatında kalite düşüklüğü fark ettim.,Kalite kontrol raporlarını inceleyin ve 'ÜP-430' kalite izleme protokolünü uygulayarak tedarikçiyle görüşün.
29,Murat,Finans,Danışma Soruları,Vergi kesintileri hakkında detaylı bilgiye ihtiyacım var.,Vergi mevzuatı ve şirketin kesinti politikaları HR portalında yer almaktadır. 'FIN-335' dökümantasyonunu inceleyebilirsiniz.
30,Ayşe,Lojistik,Donanım Problemleri,Depo tarama cihazım çalışmıyor.,Cihazın batarya ve bağlantılarını kontrol edin. Sorun devam ederse 'LOJ-420' donanım müdahale prosedürünü uygulayarak teknik destek alın.
31,Kemal,Pazarlama,Operasyonel Sorunlar,Sosyal medya kampanyası verileri eksik geliyor.,Veri akışını kontrol edin ve 'PAZ-525' veri entegrasyon kılavuzunu takip edin. İlgili IT ekibiyle koordinasyon sağlayın.
32,Elif,Ar-Ge,İdari Sorunlar,Projeye ait dokümanlar sistemde görünmüyor.,Doküman yönetim sisteminde 'ARG-630' erişim kontrol prosedürünü uygulayarak yeniden yetkilendirme isteğinde bulunun.
33,Mehmet,Müşteri Hizmetleri,Danışma Soruları,Müşteri geri bildirim raporunu nasıl elde edebilirim?,Müşteri hizmetleri veri tabanından 'MH-712' rapor çekim prosedürünü takip ederek raporu edinebilirsiniz.
34,Leyla,İnsan Kaynakları,Maddesel Problemler,Yemekhane harcama faturam reddedildi.,"Fatura detaylarını inceleyip, 'HR-525' gider onay prosedürüne uygun olarak faturanızı yeniden sunun."
35,Okan,Dijital Teknolojiler,Veri Sorunları,Büyük veri seti analizinde beklenmeyen sonuçlar alıyorum.,Veri temizleme adımlarını tekrarlayın ve 'DT-630' veri analiz kılavuzunu uygulayın. Gerekirse danışmanlık alın.
36,Deniz,Üretim,Operasyonel Sorunlar,"Montaj hattında düzensizlik var, nasıl giderilir?",Montaj sürecinde kontrol listesi uygulanmalı. 'ÜP-540' süreç iyileştirme protokolü devreye alınarak ekiple toplantı düzenleyin.
37,Eren,Finans,Yazılım Problemleri,Fatura işleme sisteminde hata alıyorum.,Öncelikle sistem güncellemelerini kontrol edin ve 'FIN-645' hata giderme prosedürünü uygulayarak teknik destekle irtibata geçin.
38,Sinem,Lojistik,Danışma Soruları,Nakliye planlama sistemine nasıl erişim sağlanır?,Lojistik portalında 'LOJ-101' erişim talimatlarını uygulayarak gerekli izinleri alabilirsiniz.
39,Ahmet,Pazarlama,Maddesel Problemler,Reklam bütçesi onay süreci neden gecikti?,"Bütçe onay süreci, yöneticilerin değerlendirmesine bağlıdır. 'PAZ-215' raporunu inceleyip, gerekirse tekrar başvurun."
40,Ece,Ar-Ge,Operasyonel Sorunlar,Deney laboratuvarında ekipman çalışmıyor.,Laboratuvar ekipmanları için 'ARG-740' bakım ve kontrol prosedürünü uygulayın. Teknik servis ile iletişim kurun.
41,Furkan,Müşteri Hizmetleri,Güvenlik Problemleri,Müşteri iletişim bilgileri sistemde güncel değil.,"Veri güncelleme protokolü 'MH-855' doğrultusunda, ilgili güncellemeleri yaparak kayıtları yenileyin."
42,Faruk,İnsan Kaynakları,İdari Sorunlar,İzin talep formum sistemde gözükmüyor.,İnsan kaynakları sisteminde 'HR-330' erişim ve form güncelleme prosedürünü uygulayarak talebinizi yeniden oluşturun.
43,Göktuğ,Dijital Teknolojiler,Donanım Problemleri,Yazıcı sürekli kağıt sıkışması yaşıyor.,Yazıcı bakım kılavuzunu takip ederek 'DT-710' protokolünü uygulayın ve gerekirse teknik destek çağırın.
44,Ali,Üretim,Üretim Problemleri,Otomasyon sisteminde verim düşüklüğü gözlemleniyor.,Üretim verimliliği için sistem loglarını analiz edin ve 'ÜP-660' optimizasyon prosedürünü uygulayarak bakım yapın.
45,Zeynep,Finans,Danışma Soruları,Bordro hesaplama yöntemi hakkında detaylı bilgiye ihtiyacım var.,Finans departmanı dökümantasyonunda 'FIN-770' hesaplama rehberini inceleyerek süreç hakkında bilgi edinebilirsiniz.
46,Murat,Lojistik,Operasyonel Sorunlar,Sevkiyat planlamasında hata yapılıyor.,Nakliye yazılımında 'LOJ-815' kontrol prosedürünü uygulayın ve planlamayı yeniden düzenleyin.
47,Ayşe,Pazarlama,Veri Sorunları,Web analitik raporları eksik veri içeriyor.,Veri toplama sürecini gözden geçirin ve 'PAZ-920' raporlama kılavuzunu uygulayarak analizi tekrarlayın.
48,Kemal,Ar-Ge,Danışma Soruları,Patent başvuru süreci hakkında bilgi verir misiniz?,Patent başvuruları için 'ARG-101' kılavuzunu inceleyin ve ilgili Ar-Ge yöneticinizle irtibata geçin.
49,Elif,Müşteri Hizmetleri,Maddesel Problemler,Çağrı merkezi ekipman giderlerim neden düşük gösteriliyor?,"Gider raporlaması 'MH-112' doğrultusunda yapılır. Raporunuzu gözden geçirip, eksik kalemleri tamamlayın."
50,Mehmet,İnsan Kaynakları,Operasyonel Sorunlar,Ofis ısıtma sisteminde dengesizlik var.,Isıtma sisteminin ayarlarını kontrol edin ve 'HR-220' teknik destek protokolünü uygulayarak bakım talebinde bulunun.
51,Leyla,Dijital Teknolojiler,Yazılım Problemleri,VPN bağlantım sürekli kopuyor.,VPN ayarlarını sıfırlayın ve 'DT-825' bağlantı stabilizasyon rehberini takip edin. Sorun devam ederse IT ile görüşün.
52,Okan,Üretim,Üretim Problemleri,Montaj robotu yanlış pozisyonda çalışıyor.,"Robotik kontrol sistemi ayarlarını gözden geçirin, 'ÜP-930' yeniden kalibrasyon prosedürünü uygulayın ve teknik destekle iletişime geçin."
53,Deniz,Finans,İdari Sorunlar,Harcama raporlarımda veri uyuşmazlığı var.,Rapor detaylarını inceleyin ve 'FIN-103' veri doğrulama prosedürünü uygulayarak ilgili birimle görüşün.
54,Eren,Lojistik,Donanım Problemleri,Depo tarayıcı cihazım çalışmıyor.,Cihazın güç ve bağlantı kontrollerini yapın. 'LOJ-505' teknik müdahale protokolünü uygulayarak servis çağırın.
55,Sinem,Pazarlama,Operasyonel Sorunlar,Reklam kampanyası planında tarih uyumsuzluğu var.,Kampanya takviminizi kontrol edin ve 'PAZ-607' zamanlama düzenleme kılavuzunu uygulayın. İlgili departmanla koordinasyon sağlayın.
56,Ahmet,Ar-Ge,Veri Sorunları,Test sonuçları veritabanında eksik gözüküyor.,Veri yedeklemesini kontrol edin ve 'ARG-710' veri kurtarma prosedürünü uygulayın. Gerekirse IT ile irtibata geçin.
57,Ece,Müşteri Hizmetleri,Güvenlik Problemleri,Çağrı kayıtlarına yetkisiz erişim tespit ettim.,Güvenlik loglarını derinlemesine inceleyin ve 'MH-820' acil müdahale prosedürünü uygulayarak ilgili birime rapor edin.
58,Furkan,İnsan Kaynakları,Danışma Soruları,Çalışan özlük dosyalarımın güncellenmesini istiyorum.,Özlük dosyası güncellemeleri için İnsan Kaynakları sisteminde 'HR-330' formunu doldurmanız gerekmektedir.
59,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Yeni CRM sistemine geçişte hata alıyorum.,CRM geçiş sürecinde 'DT-935' hata giderme adımlarını uygulayın ve IT destek ekibi ile koordinasyon sağlayın.
60,Göktuğ,Üretim,Üretim Problemleri,Paketleme makinesi performansı düştü.,"Makine performans raporlarını inceleyin, 'ÜP-102' kontrol prosedürünü uygulayarak bakım ve ayarlamaları yapın."
61,Ali,Finans,Maddesel Problemler,Fatura ödeme sürecinde gecikme yaşıyorum.,"Ödeme süreci, 'FIN-115' protokolü çerçevesinde yürütülmektedir. Raporunuzu kontrol edip, ilgili adımları tamamlayın."
62,Zeynep,Lojistik,Operasyonel Sorunlar,Dağıtım planlamasında rotalar karıştı.,Rota düzenlemesi için 'LOJ-220' planlama kılavuzunu uygulayın ve planlamayı yeniden yapılandırın.
63,Murat,Pazarlama,Danışma Soruları,Pazarlama bütçem nasıl belirleniyor?,"Bütçe oluşturma süreci, geçmiş performans ve pazar analizlerine dayanmaktadır. 'PAZ-315' bütçe kılavuzunu inceleyin."
64,Ayşe,Ar-Ge,Donanım Problemleri,Laboratuvar cihazlarından biri çalışmıyor.,Cihazın teknik kontrolünü yapın ve 'ARG-420' donanım müdahale prosedürünü uygulayarak teknik destek çağırın.
65,Kemal,Müşteri Hizmetleri,İdari Sorunlar,Müşteri takip sisteminde veri hatası var.,Sistem loglarını inceleyin ve 'MH-530' veri düzeltme prosedürünü uygulayarak IT desteği alın.
66,Elif,İnsan Kaynakları,Operasyonel Sorunlar,Çalışan formları dijital ortamda eksik gözüküyor.,"Sistem güncellemesini kontrol edin, 'HR-440' dokümantasyon prosedürünü uygulayarak eksikleri tamamlayın."
67,Mehmet,Dijital Teknolojiler,Yazılım Problemleri,Yeni uygulama modülü yüklenirken hata veriyor.,Yükleme öncesi yedek almayı unutmayın. 'DT-645' kılavuzu doğrultusunda tekrar yüklemeyi deneyin.
68,Leyla,Üretim,Üretim Problemleri,Otomatik kesim makinesinde hassasiyet sorunu var.,Kesim parametrelerini kontrol edin ve 'ÜP-750' kalibrasyon prosedürünü uygulayarak ayarlamaları yapın.
69,Okan,Finans,Danışma Soruları,Bütçe onay tarihleri hakkında bilgi verir misiniz?,"Bütçe takvimi, finans portalında yayınlanmaktadır. 'FIN-855' dökümantasyonunu inceleyin ve sorularınızı ilgili yöneticiye iletin."
70,Deniz,Lojistik,Veri Sorunları,Sevkiyat veri raporlarında eksik satırlar mevcut.,Veri toplama sürecini kontrol edin ve 'LOJ-910' raporlama prosedürünü uygulayarak eksikleri tamamlayın.
71,Eren,Pazarlama,Operasyonel Sorunlar,Reklam kampanyası görüntülenme raporları hatalı.,"Analitik sistem ayarlarını gözden geçirin, 'PAZ-1010' veri kontrol kılavuzunu takip edin."
72,Sinem,Ar-Ge,Danışma Soruları,Yeni Ar-Ge projeleri için başvuru nasıl yapılır?,"Projeye başvuru süreci, 'ARG-1120' kılavuzu çerçevesinde yapılmaktadır. İlgili formu doldurup yöneticinize iletin."
73,Ahmet,Müşteri Hizmetleri,Güvenlik Problemleri,Çağrı merkezi sisteminde şifre güncelleme sorunu var.,Şifre güncellemeleri için 'MH-1230' güvenlik prosedürünü uygulayın ve sistemi yeniden başlatın.
74,Ece,İnsan Kaynakları,Maddesel Problemler,Yıllık eğitim giderlerimde uyumsuzluk fark ettim.,Gider raporunuzu 'HR-1340' gider kontrol formuna göre güncelleyip tekrar sununuz.
75,Furkan,Dijital Teknolojiler,Veri Sorunları,Büyük veri analizinde örneklem hatası alıyorum.,"Veri setinizin bütünlüğünü kontrol edin, 'DT-1450' hata düzeltme kılavuzunu takip edin."
76,Faruk,Üretim,Operasyonel Sorunlar,Montaj bandı hızında dengesizlik var.,Üretim hattı hız kontrolünü yapın ve 'ÜP-1560' optimizasyon prosedürünü uygulayarak dengeleyin.
77,Göktuğ,Finans,İdari Sorunlar,Fatura arşivinde eksik kayıtlar mevcut.,Arşiv kontrolü için 'FIN-1670' dokümantasyon prosedürünü uygulayarak kayıtları tamamlayın.
78,Ali,Lojistik,Donanım Problemleri,Depo bilgisayarım ani kapanmalar yaşıyor.,"Güç ve ısı kontrolünü yapın, 'LOJ-1780' teknik müdahale kılavuzunu uygulayarak sorunu raporlayın."
79,Zeynep,Pazarlama,Operasyonel Sorunlar,Sosyal medya yönetim aracında bağlantı sorunu var.,"Araç ayarlarını kontrol edin, 'PAZ-1890' bağlantı protokolünü uygulayarak IT desteği alın."
80,Murat,Ar-Ge,Danışma Soruları,Prototip test aşaması için gereken doküman nedir?,Test dokümantasyonları 'ARG-1900' rehberi doğrultusunda hazırlanır. İlgili dokümanları inceleyip başvurunuzu oluşturun.
81,Ayşe,Müşteri Hizmetleri,Güvenlik Problemleri,Müşteri çağrı şifreleri eski protokolle mi korunuyor?,Güvenlik güncellemeleri 'MH-2010' kılavuzuna göre yapılmaktadır. Sistem yöneticinizle görüşerek güncellemeyi sağlayın.
82,Kemal,İnsan Kaynakları,İdari Sorunlar,Yeni işe alım süreci belgeleri eksik.,"İşe alım süreci için 'HR-2120' formunu doldurup, eksik belgeleri tamamlayarak İnsan Kaynakları birimine iletin."
83,Elif,Dijital Teknolojiler,Yazılım Problemleri,Ofis uygulamasında lisans hatası alıyorum.,"Lisans anahtarınızı kontrol edin, 'DT-2230' lisans doğrulama prosedürünü uygulayarak sorunu çözün."
84,Mehmet,Üretim,Üretim Problemleri,Ambalajlama makinesi otomatik ayarlardan sapıyor.,Kalibrasyon kontrolü için 'ÜP-2340' protokolünü uygulayın ve makina ayarlarını yeniden düzenleyin.
85,Leyla,Finans,Maddesel Problemler,Seyahat masrafım için iade süreci neden uzadı?,"İade süreci, eksiksiz belge sunumuna bağlıdır. 'FIN-2450' gider inceleme formunu doldurup, süreci hızlandırın."
86,Okan,Lojistik,Operasyonel Sorunlar,Sevkiyat takip sisteminde lokasyon hatası mevcut.,Sistem güncellemesini yapın ve 'LOJ-2560' konum doğrulama prosedürünü uygulayarak hatayı giderin.
87,Deniz,Pazarlama,Veri Sorunları,Reklam kampanyası etkileşim verilerinde tutarsızlık var.,"Veri entegrasyonunu kontrol edin, 'PAZ-2670' raporlama kılavuzunu uygulayarak veriyi doğrulayın."
88,Eren,Ar-Ge,Donanım Problemleri,Laboratuvar 3D yazıcım hata veriyor.,"3D yazıcı bakım kılavuzunu takip edin, 'ARG-2780' teknik destek prosedürünü uygulayın."
89,Sinem,Müşteri Hizmetleri,İdari Sorunlar,Müşteri şikayet formları eksik doldurulmuş görünüyor.,Form kontrolü için 'MH-2890' düzeltme kılavuzunu uygulayarak formları güncelleyin.
90,Ahmet,İnsan Kaynakları,Danışma Soruları,Çalışan izin politikası hakkında detaylı bilgi istiyorum.,Şirketin izin politikası dokümanını inceleyin. 'HR-3000' kılavuzunda tüm detaylar mevcuttur.
91,Ece,Dijital Teknolojiler,Yazılım Problemleri,Veritabanı yedekleme işlemi başarısız oluyor.,"Yedekleme ayarlarını kontrol edin, 'DT-3110' yedekleme kılavuzunu uygulayarak işlemi tekrarlayın."
92,Furkan,Üretim,Üretim Problemleri,Otomasyon hattında beklenmedik duruşlar yaşanıyor.,Üretim kontrol sistemi raporlarını inceleyin ve 'ÜP-3220' müdahale prosedürünü uygulayın.
93,Faruk,Finans,Maddesel Problemler,Fatura düzeninde format hatası alıyorum.,"Format şablonunu kontrol edin, 'FIN-3330' düzenleme kılavuzuna göre faturanızı güncelleyin."
94,Göktuğ,Lojistik,Operasyonel Sorunlar,Depo giriş-çıkış verilerinde senkronizasyon sorunu var.,"Senkronizasyon ayarlarını kontrol edin, 'LOJ-3440' veri entegrasyon prosedürünü uygulayın."
95,Ali,Pazarlama,Danışma Soruları,Reklam kampanyası performans kriterleri nelerdir?,"Performans kriterleri, 'PAZ-3550' kılavuzunda açıklanmıştır. Detaylar için ilgili dokümantasyonu inceleyin."
96,Zeynep,Ar-Ge,Veri Sorunları,Araştırma verilerinde tutarsızlık gözlemledim.,"Veri doğrulama adımlarını uygulayın, 'ARG-3660' kontrol prosedürünü takip ederek verileri yeniden analiz edin."
97,Murat,Müşteri Hizmetleri,Güvenlik Problemleri,Çağrı merkezi sisteminde olağan dışı erişim denemeleri var.,Güvenlik ekibiyle irtibata geçin ve 'MH-3770' acil müdahale protokolünü uygulayın.
98,Ayşe,İnsan Kaynakları,İdari Sorunlar,Yeni çalışan dosyalarım eksik görünüyor.,Dosya güncellemesi için 'HR-3880' dokümantasyon prosedürünü uygulayın ve eksikleri tamamlayın.
99,Kemal,Dijital Teknolojiler,Yazılım Problemleri,Uygulama performansı düşüklüğü rapor ediliyor.,"Sistem performans analizini yapın, 'DT-3990' iyileştirme kılavuzunu takip ederek optimizasyon sağlayın."
100,Elif,Üretim,Üretim Problemleri,Paketleme hattında sıklıkla tıkanma yaşanıyor.,"Hat temizliği ve bakım kontrolleri yapın, 'ÜP-4000' prosedürünü uygulayarak problemi giderin."
101,Mehmet,Finans,Maddesel Problemler,Harcamam raporda beklenenden farklı gösteriliyor.,"Harcamalar, 'FIN-4110' kontrol formuna göre incelenir. Raporunuzu kontrol edip, eksikleri tamamlayın."
102,Leyla,Lojistik,Operasyonel Sorunlar,Dağıtım sisteminde hata mesajı alıyorum.,"Sistem güncellemelerini kontrol edin, 'LOJ-4220' hata giderme kılavuzunu uygulayarak destek alın."
103,Okan,Pazarlama,Danışma Soruları,Pazarlama stratejileri toplantısı ne zaman yapılacak?,"Strateji toplantıları, pazarlama departmanı tarafından duyurulur. 'PAZ-4330' takvimine göz atınız."
104,Deniz,Ar-Ge,Donanım Problemleri,Deney cihazlarından biri stabil çalışmıyor.,"Cihazın kalibrasyonunu kontrol edin, 'ARG-4440' müdahale prosedürünü uygulayarak sorunu giderin."
105,Eren,Müşteri Hizmetleri,Güvenlik Problemleri,Müşteri verilerinde şifreleme hatası alındı.,"Veri şifreleme sistemini kontrol edin, 'MH-4550' güvenlik kılavuzunu uygulayarak düzeltme yapın."
106,Sinem,İnsan Kaynakları,Danışma Soruları,Performans ödül kriterleri nelerdir?,"Ödül kriterleri, şirket performans raporlarında açıklanır. 'HR-4660' kılavuzunu inceleyerek bilgi alabilirsiniz."
107,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Yeni yazılım modülü entegrasyonunda sorun yaşıyorum.,"Entegrasyon adımlarını kontrol edin, 'DT-4770' kılavuzunu uygulayarak IT destek ile iletişime geçin."
108,Ece,Üretim,Üretim Problemleri,Üretim verimliliğinde ani düşüş gözlemleniyor.,"Verimlilik raporlarını inceleyin, 'ÜP-4880' iyileştirme prosedürünü uygulayarak sorunu belirleyin."
109,Furkan,Finans,Maddesel Problemler,Fatura kesiminde tarih uyumsuzluğu var.,"Tarih ayarlarını kontrol edin, 'FIN-4990' düzenleme kılavuzunu uygulayarak faturanızı güncelleyin."
110,Faruk,Lojistik,Operasyonel Sorunlar,Depo envanter sayımında hata fark ettim.,"Envanter tekrar sayımı yapın, 'LOJ-5000' kontrol prosedürünü uygulayarak düzeltme yapın."
111,Göktuğ,Pazarlama,Veri Sorunları,Web sitesi trafik verileri tutarsızlık gösteriyor.,"Analitik raporları kontrol edin, 'PAZ-5110' veri doğrulama kılavuzunu uygulayarak inceleyin."
112,Ali,Ar-Ge,Danışma Soruları,Yenilikçi proje fikirleri nasıl sunulur?,"Projeler, 'ARG-5220' değerlendirme kriterlerine göre incelenir. İlgili formu doldurup, sunum yapabilirsiniz."
113,Zeynep,Müşteri Hizmetleri,Güvenlik Problemleri,Çağrı merkezi şifreleme sisteminde aksaklık var.,"Sistem ayarlarını kontrol edin, 'MH-5330' güvenlik protokolünü uygulayarak sorunu giderin."
114,Murat,İnsan Kaynakları,İdari Sorunlar,Yıllık performans formlarım eksik görünüyor.,Form güncellemeleri için 'HR-5440' kılavuzunu takip edin ve ilgili dosyaları yeniden yükleyin.
115,Ayşe,Dijital Teknolojiler,Yazılım Problemleri,Sistem güncellemesi sonrası uygulama açılmıyor.,Güncelleme sonrası 'DT-5550' yeniden başlatma prosedürünü uygulayarak sorunu çözün.
116,Kemal,Üretim,Üretim Problemleri,Makine kontrol panelinde hata kodu alıyorum.,Hata kodunu not alın ve 'ÜP-5660' arıza giderme kılavuzunu uygulayarak bakım ekibine bildirin.
117,Elif,Finans,Maddesel Problemler,Seyahat masrafım raporda eksik çıkıyor.,"Masraf raporunuzu 'FIN-5770' kontrol formuna göre güncelleyip, tekrar sununuz."
118,Mehmet,Lojistik,Operasyonel Sorunlar,Nakliye araçlarının rota verileri hatalı.,"Araç takip sistemini kontrol edin, 'LOJ-5880' veri düzeltme kılavuzunu uygulayın."
119,Leyla,Pazarlama,Danışma Soruları,Marka stratejisi güncellemesi ne zaman yapılacak?,Strateji toplantıları ve güncellemeler 'PAZ-5990' dökümantasyonunda yer alır. Takvimi kontrol ediniz.
120,Okan,Ar-Ge,Veri Sorunları,Test laboratuvarı veri toplama sürecinde aksama var.,"Veri toplama sistemini gözden geçirin, 'ARG-6000' kontrol prosedürünü uygulayarak IT desteği alın."
121,Deniz,Müşteri Hizmetleri,Güvenlik Problemleri,Çağrı merkezi veri erişiminde yetki hatası alıyorum.,"Yetki ayarlarınızı kontrol edin, 'MH-6110' güvenlik güncelleme kılavuzunu takip edin."
